I0715 16:50:24.913091 123808319759872 run.py:723] (val) algo mst_kruskal step 0: {'in_mst': 0.36396946564885496, 'score': 0.36396946564885496, 'examples_seen': 173, 'step': 0, 'algorithm': 'mst_kruskal'}
I0715 16:54:25.193351 123808319759872 run.py:723] (val) algo mst_kruskal step 2150: {'in_mst': 0.7663248785752833, 'score': 0.7663248785752833, 'examples_seen': 178221, 'step': 2150, 'algorithm': 'mst_kruskal'}
I0715 16:54:28.536622 123808319759872 run.py:723] (val) algo mst_kruskal step 2200: {'in_mst': 0.6235509456985968, 'score': 0.6235509456985968, 'examples_seen': 182316, 'step': 2200, 'algorithm': 'mst_kruskal'}
I0715 16:54:31.611374 123808319759872 run.py:723] (val) algo mst_kruskal step 2250: {'in_mst': 0.6172393007836046, 'score': 0.6172393007836046, 'examples_seen': 186367, 'step': 2250, 'algorithm': 'mst_kruskal'}
I0715 16:54:34.813743 123808319759872 run.py:723] (val) algo mst_kruskal step 2300: {'in_mst': 0.5954983922829582, 'score': 0.5954983922829582, 'examples_seen': 190412, 'step': 2300, 'algorithm': 'mst_kruskal'}
I0715 16:54:38.108005 123808319759872 run.py:723] (val) algo mst_kruskal step 2350: {'in_mst': 0.6650318783717508, 'score': 0.6650318783717508, 'examples_seen': 194466, 'step': 2350, 'algorithm': 'mst_kruskal'}
I0715 16:54:41.511210 123808319759872 run.py:723] (val) algo mst_kruskal step 2400: {'in_mst': 0.7136340598073999, 'score': 0.7136340598073999, 'examples_seen': 198751, 'step': 2400, 'algorithm': 'mst_kruskal'}
I0715 16:54:44.799740 123808319759872 run.py:723] (val) algo mst_kruskal step 2450: {'in_mst': 0.6529209621993128, 'score': 0.6529209621993128, 'examples_seen': 202922, 'step': 2450, 'algorithm': 'mst_kruskal'}
I0715 16:54:48.001900 123808319759872 run.py:723] (val) algo mst_kruskal step 2500: {'in_mst': 0.7229588276343335, 'score': 0.7229588276343335, 'examples_seen': 207050, 'step': 2500, 'algorithm': 'mst_kruskal'}
I0715 16:54:51.237947 123808319759872 run.py:723] (val) algo mst_kruskal step 2550: {'in_mst': 0.6968053044002411, 'score': 0.6968053044002411, 'examples_seen': 211121, 'step': 2550, 'algorithm': 'mst_kruskal'}
I0715 16:54:54.337122 123808319759872 run.py:723] (val) algo mst_kruskal step 2600: {'in_mst': 0.695928080380751, 'score': 0.695928080380751, 'examples_seen': 215141, 'step': 2600, 'algorithm': 'mst_kruskal'}
I0715 16:54:57.406596 123808319759872 run.py:723] (val) algo mst_kruskal step 2650: {'in_mst': 0.6337047353760445, 'score': 0.6337047353760445, 'examples_seen': 219120, 'step': 2650, 'algorithm': 'mst_kruskal'}
I0715 16:55:00.605807 123808319759872 run.py:723] (val) algo mst_kruskal step 2700: {'in_mst': 0.6129476584022039, 'score': 0.6129476584022039, 'examples_seen': 223194, 'step': 2700, 'algorithm': 'mst_kruskal'}
I0715 16:55:03.853832 123808319759872 run.py:723] (val) algo mst_kruskal step 2750: {'in_mst': 0.7354838709677419, 'score': 0.7354838709677419, 'examples_seen': 227498, 'step': 2750, 'algorithm': 'mst_kruskal'}
I0715 16:55:07.118731 123808319759872 run.py:723] (val) algo mst_kruskal step 2800: {'in_mst': 0.6259280411193604, 'score': 0.6259280411193604, 'examples_seen': 231716, 'step': 2800, 'algorithm': 'mst_kruskal'}
I0715 16:55:10.280886 123808319759872 run.py:723] (val) algo mst_kruskal step 2850: {'in_mst': 0.7380675203725263, 'score': 0.7380675203725263, 'examples_seen': 235735, 'step': 2850, 'algorithm': 'mst_kruskal'}
I0715 16:55:13.601934 123808319759872 run.py:723] (val) algo mst_kruskal step 2900: {'in_mst': 0.7326049453709028, 'score': 0.7326049453709028, 'examples_seen': 239883, 'step': 2900, 'algorithm': 'mst_kruskal'}
I0715 16:55:16.898839 123808319759872 run.py:723] (val) algo mst_kruskal step 2950: {'in_mst': 0.7695605573419079, 'score': 0.7695605573419079, 'examples_seen': 244016, 'step': 2950, 'algorithm': 'mst_kruskal'}
I0715 16:55:20.222830 123808319759872 run.py:723] (val) algo mst_kruskal step 3000: {'in_mst': 0.7036844836533471, 'score': 0.7036844836533471, 'examples_seen': 248024, 'step': 3000, 'algorithm': 'mst_kruskal'}
I0715 16:55:23.616725 123808319759872 run.py:723] (val) algo mst_kruskal step 3050: {'in_mst': 0.6507936507936509, 'score': 0.6507936507936509, 'examples_seen': 252129, 'step': 3050, 'algorithm': 'mst_kruskal'}
I0715 16:55:26.803917 123808319759872 run.py:723] (val) algo mst_kruskal step 3100: {'in_mst': 0.7496740547588006, 'score': 0.7496740547588006, 'examples_seen': 256390, 'step': 3100, 'algorithm': 'mst_kruskal'}
I0715 16:55:30.069602 123808319759872 run.py:723] (val) algo mst_kruskal step 3150: {'in_mst': 0.869320843091335, 'score': 0.869320843091335, 'examples_seen': 260590, 'step': 3150, 'algorithm': 'mst_kruskal'}
I0715 16:55:33.617915 123808319759872 run.py:723] (val) algo mst_kruskal step 3200: {'in_mst': 0.6098457016899339, 'score': 0.6098457016899339, 'examples_seen': 264819, 'step': 3200, 'algorithm': 'mst_kruskal'}
I0715 16:55:36.902227 123808319759872 run.py:723] (val) algo mst_kruskal step 3250: {'in_mst': 0.7692307692307693, 'score': 0.7692307692307693, 'examples_seen': 268973, 'step': 3250, 'algorithm': 'mst_kruskal'}
I0715 16:55:40.156234 123808319759872 run.py:723] (val) algo mst_kruskal step 3300: {'in_mst': 0.7968673519334313, 'score': 0.7968673519334313, 'examples_seen': 272965, 'step': 3300, 'algorithm': 'mst_kruskal'}
I0715 16:55:43.200014 123808319759872 run.py:723] (val) algo mst_kruskal step 3350: {'in_mst': 0.7692307692307692, 'score': 0.7692307692307692, 'examples_seen': 276955, 'step': 3350, 'algorithm': 'mst_kruskal'}
I0715 16:55:46.377575 123808319759872 run.py:723] (val) algo mst_kruskal step 3400: {'in_mst': 0.7568555758683729, 'score': 0.7568555758683729, 'examples_seen': 280943, 'step': 3400, 'algorithm': 'mst_kruskal'}
I0715 16:55:49.616713 123808319759872 run.py:723] (val) algo mst_kruskal step 3450: {'in_mst': 0.7866323907455013, 'score': 0.7866323907455013, 'examples_seen': 285132, 'step': 3450, 'algorithm': 'mst_kruskal'}
I0715 16:55:52.986604 123808319759872 run.py:723] (val) algo mst_kruskal step 3500: {'in_mst': 0.7816091954022989, 'score': 0.7816091954022989, 'examples_seen': 289302, 'step': 3500, 'algorithm': 'mst_kruskal'}
I0715 16:55:56.275910 123808319759872 run.py:723] (val) algo mst_kruskal step 3550: {'in_mst': 0.6341979883536262, 'score': 0.6341979883536262, 'examples_seen': 293568, 'step': 3550, 'algorithm': 'mst_kruskal'}
I0715 16:55:59.598628 123808319759872 run.py:723] (val) algo mst_kruskal step 3600: {'in_mst': 0.7644256220222341, 'score': 0.7644256220222341, 'examples_seen': 297736, 'step': 3600, 'algorithm': 'mst_kruskal'}
I0715 16:56:02.703876 123808319759872 run.py:723] (val) algo mst_kruskal step 3650: {'in_mst': 0.6780684104627767, 'score': 0.6780684104627767, 'examples_seen': 301785, 'step': 3650, 'algorithm': 'mst_kruskal'}
I0715 16:56:05.878388 123808319759872 run.py:723] (val) algo mst_kruskal step 3700: {'in_mst': 0.624, 'score': 0.624, 'examples_seen': 305887, 'step': 3700, 'algorithm': 'mst_kruskal'}
I0715 16:56:09.080490 123808319759872 run.py:723] (val) algo mst_kruskal step 3750: {'in_mst': 0.7433414043583535, 'score': 0.7433414043583535, 'examples_seen': 309936, 'step': 3750, 'algorithm': 'mst_kruskal'}
I0715 16:56:12.337471 123808319759872 run.py:723] (val) algo mst_kruskal step 3800: {'in_mst': 0.7038007863695936, 'score': 0.7038007863695936, 'examples_seen': 314216, 'step': 3800, 'algorithm': 'mst_kruskal'}
I0715 16:56:15.596182 123808319759872 run.py:723] (val) algo mst_kruskal step 3850: {'in_mst': 0.7725162488393686, 'score': 0.7725162488393686, 'examples_seen': 318430, 'step': 3850, 'algorithm': 'mst_kruskal'}
I0715 16:56:18.788352 123808319759872 run.py:723] (val) algo mst_kruskal step 3900: {'in_mst': 0.7581764122893955, 'score': 0.7581764122893955, 'examples_seen': 322513, 'step': 3900, 'algorithm': 'mst_kruskal'}
I0715 16:56:22.029074 123808319759872 run.py:723] (val) algo mst_kruskal step 3950: {'in_mst': 0.8326232501521607, 'score': 0.8326232501521607, 'examples_seen': 326603, 'step': 3950, 'algorithm': 'mst_kruskal'}
I0715 16:56:25.229089 123808319759872 run.py:723] (val) algo mst_kruskal step 4000: {'in_mst': 0.7025862068965517, 'score': 0.7025862068965517, 'examples_seen': 330716, 'step': 4000, 'algorithm': 'mst_kruskal'}
I0715 16:56:28.385067 123808319759872 run.py:723] (val) algo mst_kruskal step 4050: {'in_mst': 0.7932900432900434, 'score': 0.7932900432900434, 'examples_seen': 334684, 'step': 4050, 'algorithm': 'mst_kruskal'}
I0715 16:56:31.526633 123808319759872 run.py:723] (val) algo mst_kruskal step 4100: {'in_mst': 0.5747836835599506, 'score': 0.5747836835599506, 'examples_seen': 338743, 'step': 4100, 'algorithm': 'mst_kruskal'}
I0715 16:56:34.825529 123808319759872 run.py:723] (val) algo mst_kruskal step 4150: {'in_mst': 0.6766040181464679, 'score': 0.6766040181464679, 'examples_seen': 343016, 'step': 4150, 'algorithm': 'mst_kruskal'}
I0715 16:56:38.249574 123808319759872 run.py:723] (val) algo mst_kruskal step 4200: {'in_mst': 0.8106448311156601, 'score': 0.8106448311156601, 'examples_seen': 347254, 'step': 4200, 'algorithm': 'mst_kruskal'}
I0715 16:56:41.613187 123808319759872 run.py:723] (val) algo mst_kruskal step 4250: {'in_mst': 0.7401993355481729, 'score': 0.7401993355481729, 'examples_seen': 351401, 'step': 4250, 'algorithm': 'mst_kruskal'}
I0715 16:56:44.800849 123808319759872 run.py:723] (val) algo mst_kruskal step 4300: {'in_mst': 0.8090737240075614, 'score': 0.8090737240075614, 'examples_seen': 355505, 'step': 4300, 'algorithm': 'mst_kruskal'}
I0715 16:56:47.915162 123808319759872 run.py:723] (val) algo mst_kruskal step 4350: {'in_mst': 0.8177946048272597, 'score': 0.8177946048272597, 'examples_seen': 359596, 'step': 4350, 'algorithm': 'mst_kruskal'}
I0715 16:56:51.276813 123808319759872 run.py:723] (val) algo mst_kruskal step 4400: {'in_mst': 0.7175472928897585, 'score': 0.7175472928897585, 'examples_seen': 363677, 'step': 4400, 'algorithm': 'mst_kruskal'}
I0715 16:56:54.651742 123808319759872 run.py:723] (val) algo mst_kruskal step 4450: {'in_mst': 0.733829421866056, 'score': 0.733829421866056, 'examples_seen': 367777, 'step': 4450, 'algorithm': 'mst_kruskal'}
I0715 16:56:58.028278 123808319759872 run.py:723] (val) algo mst_kruskal step 4500: {'in_mst': 0.7731359069275515, 'score': 0.7731359069275515, 'examples_seen': 372068, 'step': 4500, 'algorithm': 'mst_kruskal'}
I0715 16:57:01.342792 123808319759872 run.py:723] (val) algo mst_kruskal step 4550: {'in_mst': 0.7406398910823689, 'score': 0.7406398910823689, 'examples_seen': 376301, 'step': 4550, 'algorithm': 'mst_kruskal'}
I0715 16:57:04.648034 123808319759872 run.py:723] (val) algo mst_kruskal step 4600: {'in_mst': 0.7788461538461537, 'score': 0.7788461538461537, 'examples_seen': 380462, 'step': 4600, 'algorithm': 'mst_kruskal'}
I0715 16:57:07.957010 123808319759872 run.py:723] (val) algo mst_kruskal step 4650: {'in_mst': 0.7346711259754737, 'score': 0.7346711259754737, 'examples_seen': 384591, 'step': 4650, 'algorithm': 'mst_kruskal'}
I0715 16:57:11.099905 123808319759872 run.py:723] (val) algo mst_kruskal step 4700: {'in_mst': 0.7812971342383108, 'score': 0.7812971342383108, 'examples_seen': 388658, 'step': 4700, 'algorithm': 'mst_kruskal'}
I0715 16:57:14.265901 123808319759872 run.py:723] (val) algo mst_kruskal step 4750: {'in_mst': 0.7643564356435644, 'score': 0.7643564356435644, 'examples_seen': 392694, 'step': 4750, 'algorithm': 'mst_kruskal'}
I0715 16:57:17.752760 123808319759872 run.py:723] (val) algo mst_kruskal step 4800: {'in_mst': 0.6219211822660098, 'score': 0.6219211822660098, 'examples_seen': 396779, 'step': 4800, 'algorithm': 'mst_kruskal'}
I0715 16:57:21.149761 123808319759872 run.py:723] (val) algo mst_kruskal step 4850: {'in_mst': 0.7503059975520194, 'score': 0.7503059975520194, 'examples_seen': 401094, 'step': 4850, 'algorithm': 'mst_kruskal'}
I0715 16:57:24.277325 123808319759872 run.py:723] (val) algo mst_kruskal step 4900: {'in_mst': 0.7997644287396938, 'score': 0.7997644287396938, 'examples_seen': 405307, 'step': 4900, 'algorithm': 'mst_kruskal'}
I0715 16:57:27.478465 123808319759872 run.py:723] (val) algo mst_kruskal step 4950: {'in_mst': 0.8278915329275042, 'score': 0.8278915329275042, 'examples_seen': 409441, 'step': 4950, 'algorithm': 'mst_kruskal'}
I0715 16:57:30.657511 123808319759872 run.py:723] (val) algo mst_kruskal step 5000: {'in_mst': 0.7836846929422547, 'score': 0.7836846929422547, 'examples_seen': 413530, 'step': 5000, 'algorithm': 'mst_kruskal'}
I0715 16:57:33.821863 123808319759872 run.py:723] (val) algo mst_kruskal step 5050: {'in_mst': 0.7856743144935647, 'score': 0.7856743144935647, 'examples_seen': 417587, 'step': 5050, 'algorithm': 'mst_kruskal'}
I0715 16:57:37.178060 123808319759872 run.py:723] (val) algo mst_kruskal step 5100: {'in_mst': 0.8089536699635607, 'score': 0.8089536699635607, 'examples_seen': 421709, 'step': 5100, 'algorithm': 'mst_kruskal'}
I0715 16:57:40.463375 123808319759872 run.py:723] (val) algo mst_kruskal step 5150: {'in_mst': 0.7423117709437965, 'score': 0.7423117709437965, 'examples_seen': 425755, 'step': 5150, 'algorithm': 'mst_kruskal'}
I0715 16:57:43.834979 123808319759872 run.py:723] (val) algo mst_kruskal step 5200: {'in_mst': 0.6907730673316708, 'score': 0.6907730673316708, 'examples_seen': 430070, 'step': 5200, 'algorithm': 'mst_kruskal'}
I0715 16:57:47.041606 123808319759872 run.py:723] (val) algo mst_kruskal step 5250: {'in_mst': 0.778857837181045, 'score': 0.778857837181045, 'examples_seen': 434316, 'step': 5250, 'algorithm': 'mst_kruskal'}
I0715 16:57:50.483326 123808319759872 run.py:723] (val) algo mst_kruskal step 5300: {'in_mst': 0.7063537492844877, 'score': 0.7063537492844877, 'examples_seen': 438498, 'step': 5300, 'algorithm': 'mst_kruskal'}
I0715 16:57:53.523007 123808319759872 run.py:723] (val) algo mst_kruskal step 5350: {'in_mst': 0.8096212896622313, 'score': 0.8096212896622313, 'examples_seen': 442498, 'step': 5350, 'algorithm': 'mst_kruskal'}
I0715 16:57:56.736357 123808319759872 run.py:723] (val) algo mst_kruskal step 5400: {'in_mst': 0.7576902320561253, 'score': 0.7576902320561253, 'examples_seen': 446583, 'step': 5400, 'algorithm': 'mst_kruskal'}
I0715 16:58:00.003108 123808319759872 run.py:723] (val) algo mst_kruskal step 5450: {'in_mst': 0.7337780473013947, 'score': 0.7337780473013947, 'examples_seen': 450633, 'step': 5450, 'algorithm': 'mst_kruskal'}
I0715 16:58:03.174666 123808319759872 run.py:723] (val) algo mst_kruskal step 5500: {'in_mst': 0.8011695906432748, 'score': 0.8011695906432748, 'examples_seen': 454692, 'step': 5500, 'algorithm': 'mst_kruskal'}
I0715 16:58:06.454710 123808319759872 run.py:723] (val) algo mst_kruskal step 5550: {'in_mst': 0.7860962566844921, 'score': 0.7860962566844921, 'examples_seen': 458917, 'step': 5550, 'algorithm': 'mst_kruskal'}
I0715 16:58:09.882413 123808319759872 run.py:723] (val) algo mst_kruskal step 5600: {'in_mst': 0.7275590551181103, 'score': 0.7275590551181103, 'examples_seen': 463110, 'step': 5600, 'algorithm': 'mst_kruskal'}
I0715 16:58:13.039886 123808319759872 run.py:723] (val) algo mst_kruskal step 5650: {'in_mst': 0.7763401109057301, 'score': 0.7763401109057301, 'examples_seen': 467240, 'step': 5650, 'algorithm': 'mst_kruskal'}
I0715 16:58:16.223705 123808319759872 run.py:723] (val) algo mst_kruskal step 5700: {'in_mst': 0.8076535750251763, 'score': 0.8076535750251763, 'examples_seen': 471347, 'step': 5700, 'algorithm': 'mst_kruskal'}
I0715 16:58:19.583256 123808319759872 run.py:723] (val) algo mst_kruskal step 5750: {'in_mst': 0.7958172812328014, 'score': 0.7958172812328014, 'examples_seen': 475483, 'step': 5750, 'algorithm': 'mst_kruskal'}
I0715 16:58:22.796575 123808319759872 run.py:723] (val) algo mst_kruskal step 5800: {'in_mst': 0.8211346903421395, 'score': 0.8211346903421395, 'examples_seen': 479534, 'step': 5800, 'algorithm': 'mst_kruskal'}
I0715 16:58:26.063813 123808319759872 run.py:723] (val) algo mst_kruskal step 5850: {'in_mst': 0.8338480543545398, 'score': 0.8338480543545398, 'examples_seen': 483610, 'step': 5850, 'algorithm': 'mst_kruskal'}
I0715 16:58:29.179406 123808319759872 run.py:723] (val) algo mst_kruskal step 5900: {'in_mst': 0.801248699271592, 'score': 0.801248699271592, 'examples_seen': 487844, 'step': 5900, 'algorithm': 'mst_kruskal'}
I0715 16:58:32.408762 123808319759872 run.py:723] (val) algo mst_kruskal step 5950: {'in_mst': 0.8136180034622043, 'score': 0.8136180034622043, 'examples_seen': 492003, 'step': 5950, 'algorithm': 'mst_kruskal'}
I0715 16:58:35.665899 123808319759872 run.py:723] (val) algo mst_kruskal step 6000: {'in_mst': 0.821743388834476, 'score': 0.821743388834476, 'examples_seen': 496195, 'step': 6000, 'algorithm': 'mst_kruskal'}
I0715 16:58:38.914159 123808319759872 run.py:723] (val) algo mst_kruskal step 6050: {'in_mst': 0.8312318137730359, 'score': 0.8312318137730359, 'examples_seen': 500275, 'step': 6050, 'algorithm': 'mst_kruskal'}
I0715 16:58:42.236170 123808319759872 run.py:723] (val) algo mst_kruskal step 6100: {'in_mst': 0.7744788376500314, 'score': 0.7744788376500314, 'examples_seen': 504380, 'step': 6100, 'algorithm': 'mst_kruskal'}
I0715 16:58:45.774302 123808319759872 run.py:723] (val) algo mst_kruskal step 6150: {'in_mst': 0.8137450199203188, 'score': 0.8137450199203188, 'examples_seen': 508506, 'step': 6150, 'algorithm': 'mst_kruskal'}
