{'start': 0.0, 'end': 0.087890625, 'score': 0.0439453125, 'examples_seen': 80, 'step': 0, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.8994140625, 'end': 0.86572265625, 'score': 0.882568359375, 'examples_seen': 149216, 'step': 2900, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90185546875, 'end': 0.8466796875, 'score': 0.874267578125, 'examples_seen': 151776, 'step': 2950, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9013671875, 'end': 0.9130859375, 'score': 0.9072265625, 'examples_seen': 154320, 'step': 3000, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.89599609375, 'end': 0.90576171875, 'score': 0.90087890625, 'examples_seen': 156832, 'step': 3050, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9287109375, 'end': 0.89990234375, 'score': 0.914306640625, 'examples_seen': 159488, 'step': 3100, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.896484375, 'end': 0.875, 'score': 0.8857421875, 'examples_seen': 162112, 'step': 3150, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92724609375, 'end': 0.900390625, 'score': 0.913818359375, 'examples_seen': 164672, 'step': 3200, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90087890625, 'end': 0.83642578125, 'score': 0.86865234375, 'examples_seen': 167248, 'step': 3250, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90380859375, 'end': 0.87548828125, 'score': 0.8896484375, 'examples_seen': 169776, 'step': 3300, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91650390625, 'end': 0.880859375, 'score': 0.898681640625, 'examples_seen': 172336, 'step': 3350, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90576171875, 'end': 0.900390625, 'score': 0.903076171875, 'examples_seen': 174864, 'step': 3400, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91845703125, 'end': 0.87548828125, 'score': 0.89697265625, 'examples_seen': 177504, 'step': 3450, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.86083984375, 'end': 0.86181640625, 'score': 0.861328125, 'examples_seen': 180112, 'step': 3500, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9140625, 'end': 0.90869140625, 'score': 0.911376953125, 'examples_seen': 182672, 'step': 3550, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.927734375, 'end': 0.93115234375, 'score': 0.929443359375, 'examples_seen': 185248, 'step': 3600, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91357421875, 'end': 0.87548828125, 'score': 0.89453125, 'examples_seen': 187776, 'step': 3650, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.927734375, 'end': 0.9150390625, 'score': 0.92138671875, 'examples_seen': 190320, 'step': 3700, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9189453125, 'end': 0.8447265625, 'score': 0.8818359375, 'examples_seen': 192864, 'step': 3750, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.89794921875, 'end': 0.90966796875, 'score': 0.90380859375, 'examples_seen': 195504, 'step': 3800, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.908203125, 'end': 0.84619140625, 'score': 0.877197265625, 'examples_seen': 198128, 'step': 3850, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93212890625, 'end': 0.91748046875, 'score': 0.9248046875, 'examples_seen': 200672, 'step': 3900, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.943359375, 'end': 0.9072265625, 'score': 0.92529296875, 'examples_seen': 203232, 'step': 3950, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91796875, 'end': 0.92138671875, 'score': 0.919677734375, 'examples_seen': 205792, 'step': 4000, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92333984375, 'end': 0.91748046875, 'score': 0.92041015625, 'examples_seen': 208320, 'step': 4050, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9306640625, 'end': 0.8974609375, 'score': 0.9140625, 'examples_seen': 210848, 'step': 4100, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90869140625, 'end': 0.90673828125, 'score': 0.90771484375, 'examples_seen': 213520, 'step': 4150, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9189453125, 'end': 0.92822265625, 'score': 0.923583984375, 'examples_seen': 216112, 'step': 4200, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90380859375, 'end': 0.861328125, 'score': 0.882568359375, 'examples_seen': 218688, 'step': 4250, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93212890625, 'end': 0.8896484375, 'score': 0.910888671875, 'examples_seen': 221248, 'step': 4300, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92919921875, 'end': 0.91748046875, 'score': 0.92333984375, 'examples_seen': 223792, 'step': 4350, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9306640625, 'end': 0.890625, 'score': 0.91064453125, 'examples_seen': 226352, 'step': 4400, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90966796875, 'end': 0.900390625, 'score': 0.905029296875, 'examples_seen': 228880, 'step': 4450, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91259765625, 'end': 0.875, 'score': 0.893798828125, 'examples_seen': 231504, 'step': 4500, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9365234375, 'end': 0.935546875, 'score': 0.93603515625, 'examples_seen': 234128, 'step': 4550, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91015625, 'end': 0.87353515625, 'score': 0.891845703125, 'examples_seen': 236688, 'step': 4600, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9111328125, 'end': 0.91162109375, 'score': 0.911376953125, 'examples_seen': 239264, 'step': 4650, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92626953125, 'end': 0.90771484375, 'score': 0.9169921875, 'examples_seen': 241792, 'step': 4700, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.935546875, 'end': 0.9130859375, 'score': 0.92431640625, 'examples_seen': 244336, 'step': 4750, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91357421875, 'end': 0.91845703125, 'score': 0.916015625, 'examples_seen': 246880, 'step': 4800, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91748046875, 'end': 0.89404296875, 'score': 0.90576171875, 'examples_seen': 249520, 'step': 4850, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92822265625, 'end': 0.8447265625, 'score': 0.886474609375, 'examples_seen': 252128, 'step': 4900, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92822265625, 'end': 0.875, 'score': 0.901611328125, 'examples_seen': 254688, 'step': 4950, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.916015625, 'end': 0.9228515625, 'score': 0.91943359375, 'examples_seen': 257264, 'step': 5000, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.86962890625, 'end': 0.89697265625, 'score': 0.88330078125, 'examples_seen': 259792, 'step': 5050, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92578125, 'end': 0.9208984375, 'score': 0.92333984375, 'examples_seen': 262336, 'step': 5100, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.931640625, 'end': 0.935546875, 'score': 0.93359375, 'examples_seen': 264880, 'step': 5150, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9326171875, 'end': 0.87451171875, 'score': 0.903564453125, 'examples_seen': 267520, 'step': 5200, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92724609375, 'end': 0.84375, 'score': 0.885498046875, 'examples_seen': 270128, 'step': 5250, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.927734375, 'end': 0.94140625, 'score': 0.9345703125, 'examples_seen': 272688, 'step': 5300, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.884765625, 'end': 0.91259765625, 'score': 0.898681640625, 'examples_seen': 275248, 'step': 5350, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9384765625, 'end': 0.8857421875, 'score': 0.912109375, 'examples_seen': 277792, 'step': 5400, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93212890625, 'end': 0.92431640625, 'score': 0.92822265625, 'examples_seen': 280352, 'step': 5450, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92578125, 'end': 0.8681640625, 'score': 0.89697265625, 'examples_seen': 282864, 'step': 5500, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.904296875, 'end': 0.90966796875, 'score': 0.906982421875, 'examples_seen': 285504, 'step': 5550, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92333984375, 'end': 0.88525390625, 'score': 0.904296875, 'examples_seen': 288128, 'step': 5600, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90673828125, 'end': 0.888671875, 'score': 0.897705078125, 'examples_seen': 290688, 'step': 5650, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92626953125, 'end': 0.83154296875, 'score': 0.87890625, 'examples_seen': 293280, 'step': 5700, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.904296875, 'end': 0.9052734375, 'score': 0.90478515625, 'examples_seen': 295808, 'step': 5750, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90185546875, 'end': 0.91796875, 'score': 0.909912109375, 'examples_seen': 298352, 'step': 5800, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91845703125, 'end': 0.9375, 'score': 0.927978515625, 'examples_seen': 300896, 'step': 5850, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.931640625, 'end': 0.92431640625, 'score': 0.927978515625, 'examples_seen': 303520, 'step': 5900, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9267578125, 'end': 0.91845703125, 'score': 0.922607421875, 'examples_seen': 306144, 'step': 5950, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93896484375, 'end': 0.94189453125, 'score': 0.9404296875, 'examples_seen': 308720, 'step': 6000, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.853515625, 'end': 0.86767578125, 'score': 0.860595703125, 'examples_seen': 311264, 'step': 6050, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91845703125, 'end': 0.91357421875, 'score': 0.916015625, 'examples_seen': 313808, 'step': 6100, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.923828125, 'end': 0.91552734375, 'score': 0.919677734375, 'examples_seen': 316368, 'step': 6150, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.89208984375, 'end': 0.86572265625, 'score': 0.87890625, 'examples_seen': 318880, 'step': 6200, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9599609375, 'end': 0.9384765625, 'score': 0.94921875, 'examples_seen': 321536, 'step': 6250, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.927734375, 'end': 0.921875, 'score': 0.9248046875, 'examples_seen': 324128, 'step': 6300, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93017578125, 'end': 0.9111328125, 'score': 0.920654296875, 'examples_seen': 326704, 'step': 6350, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9189453125, 'end': 0.8662109375, 'score': 0.892578125, 'examples_seen': 329264, 'step': 6400, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90283203125, 'end': 0.87109375, 'score': 0.886962890625, 'examples_seen': 331792, 'step': 6450, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93701171875, 'end': 0.90966796875, 'score': 0.92333984375, 'examples_seen': 334352, 'step': 6500, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.939453125, 'end': 0.892578125, 'score': 0.916015625, 'examples_seen': 336880, 'step': 6550, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.94189453125, 'end': 0.93798828125, 'score': 0.93994140625, 'examples_seen': 339520, 'step': 6600, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9306640625, 'end': 0.93798828125, 'score': 0.934326171875, 'examples_seen': 342144, 'step': 6650, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.8837890625, 'end': 0.92431640625, 'score': 0.904052734375, 'examples_seen': 344704, 'step': 6700, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9150390625, 'end': 0.861328125, 'score': 0.88818359375, 'examples_seen': 347280, 'step': 6750, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91552734375, 'end': 0.9150390625, 'score': 0.915283203125, 'examples_seen': 349824, 'step': 6800, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9248046875, 'end': 0.939453125, 'score': 0.93212890625, 'examples_seen': 352368, 'step': 6850, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.94140625, 'end': 0.9296875, 'score': 0.935546875, 'examples_seen': 354896, 'step': 6900, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.943359375, 'end': 0.93310546875, 'score': 0.938232421875, 'examples_seen': 357536, 'step': 6950, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9208984375, 'end': 0.92333984375, 'score': 0.922119140625, 'examples_seen': 360176, 'step': 7000, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92724609375, 'end': 0.90185546875, 'score': 0.91455078125, 'examples_seen': 362720, 'step': 7050, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93212890625, 'end': 0.9384765625, 'score': 0.935302734375, 'examples_seen': 365280, 'step': 7100, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90087890625, 'end': 0.8974609375, 'score': 0.899169921875, 'examples_seen': 367824, 'step': 7150, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9453125, 'end': 0.9287109375, 'score': 0.93701171875, 'examples_seen': 370368, 'step': 7200, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.94384765625, 'end': 0.93701171875, 'score': 0.9404296875, 'examples_seen': 372896, 'step': 7250, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93798828125, 'end': 0.904296875, 'score': 0.921142578125, 'examples_seen': 375536, 'step': 7300, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91650390625, 'end': 0.896484375, 'score': 0.906494140625, 'examples_seen': 378144, 'step': 7350, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.94677734375, 'end': 0.89794921875, 'score': 0.92236328125, 'examples_seen': 380720, 'step': 7400, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92626953125, 'end': 0.921875, 'score': 0.924072265625, 'examples_seen': 383280, 'step': 7450, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9375, 'end': 0.93505859375, 'score': 0.936279296875, 'examples_seen': 385808, 'step': 7500, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9326171875, 'end': 0.94384765625, 'score': 0.938232421875, 'examples_seen': 388368, 'step': 7550, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.94384765625, 'end': 0.93017578125, 'score': 0.93701171875, 'examples_seen': 390896, 'step': 7600, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.943359375, 'end': 0.92822265625, 'score': 0.935791015625, 'examples_seen': 393536, 'step': 7650, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92578125, 'end': 0.9189453125, 'score': 0.92236328125, 'examples_seen': 396160, 'step': 7700, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93359375, 'end': 0.9150390625, 'score': 0.92431640625, 'examples_seen': 398704, 'step': 7750, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9443359375, 'end': 0.9453125, 'score': 0.94482421875, 'examples_seen': 401280, 'step': 7800, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.912109375, 'end': 0.9287109375, 'score': 0.92041015625, 'examples_seen': 403808, 'step': 7850, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.94287109375, 'end': 0.939453125, 'score': 0.941162109375, 'examples_seen': 406352, 'step': 7900, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.8818359375, 'end': 0.9091796875, 'score': 0.8955078125, 'examples_seen': 408896, 'step': 7950, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9453125, 'end': 0.93115234375, 'score': 0.938232421875, 'examples_seen': 411552, 'step': 8000, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91259765625, 'end': 0.89990234375, 'score': 0.90625, 'examples_seen': 414160, 'step': 8050, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.9189453125, 'end': 0.88720703125, 'score': 0.903076171875, 'examples_seen': 416720, 'step': 8100, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.90087890625, 'end': 0.8916015625, 'score': 0.896240234375, 'examples_seen': 419280, 'step': 8150, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.92529296875, 'end': 0.9111328125, 'score': 0.918212890625, 'examples_seen': 421840, 'step': 8200, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.94384765625, 'end': 0.93310546875, 'score': 0.9384765625, 'examples_seen': 424384, 'step': 8250, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93359375, 'end': 0.9189453125, 'score': 0.92626953125, 'examples_seen': 426896, 'step': 8300, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.935546875, 'end': 0.93115234375, 'score': 0.933349609375, 'examples_seen': 429552, 'step': 8350, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.94677734375, 'end': 0.9248046875, 'score': 0.935791015625, 'examples_seen': 432160, 'step': 8400, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.93359375, 'end': 0.92431640625, 'score': 0.928955078125, 'examples_seen': 434736, 'step': 8450, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.947265625, 'end': 0.9267578125, 'score': 0.93701171875, 'examples_seen': 437296, 'step': 8500, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.91845703125, 'end': 0.90673828125, 'score': 0.91259765625, 'examples_seen': 439824, 'step': 8550, 'algorithm': 'find_maximum_subarray_kadane'}
{'start': 0.95068359375, 'end': 0.93212890625, 'score': 0.94140625, 'examples_seen': 442384, 'step': 8600, 'algorithm': 'find_maximum_subarray_kadane'}
