{'median': 0.029052734375, 'score': 0.029052734375, 'examples_seen': 46, 'step': 0, 'algorithm': 'quickselect'}
{'median': 0.159912109375, 'score': 0.159912109375, 'examples_seen': 41953, 'step': 1300, 'algorithm': 'quickselect'}
{'median': 0.135009765625, 'score': 0.135009765625, 'examples_seen': 43643, 'step': 1350, 'algorithm': 'quickselect'}
{'median': 0.1689453125, 'score': 0.1689453125, 'examples_seen': 45300, 'step': 1400, 'algorithm': 'quickselect'}
{'median': 0.1396484375, 'score': 0.1396484375, 'examples_seen': 46902, 'step': 1450, 'algorithm': 'quickselect'}
{'median': 0.153564453125, 'score': 0.153564453125, 'examples_seen': 48509, 'step': 1500, 'algorithm': 'quickselect'}
{'median': 0.130615234375, 'score': 0.130615234375, 'examples_seen': 50107, 'step': 1550, 'algorithm': 'quickselect'}
{'median': 0.108154296875, 'score': 0.108154296875, 'examples_seen': 51716, 'step': 1600, 'algorithm': 'quickselect'}
{'median': 0.14599609375, 'score': 0.14599609375, 'examples_seen': 53287, 'step': 1650, 'algorithm': 'quickselect'}
{'median': 0.1796875, 'score': 0.1796875, 'examples_seen': 54980, 'step': 1700, 'algorithm': 'quickselect'}
{'median': 0.10693359375, 'score': 0.10693359375, 'examples_seen': 56623, 'step': 1750, 'algorithm': 'quickselect'}
{'median': 0.163818359375, 'score': 0.163818359375, 'examples_seen': 58234, 'step': 1800, 'algorithm': 'quickselect'}
{'median': 0.160888671875, 'score': 0.160888671875, 'examples_seen': 59815, 'step': 1850, 'algorithm': 'quickselect'}
{'median': 0.15478515625, 'score': 0.15478515625, 'examples_seen': 61409, 'step': 1900, 'algorithm': 'quickselect'}
{'median': 0.13818359375, 'score': 0.13818359375, 'examples_seen': 62998, 'step': 1950, 'algorithm': 'quickselect'}
{'median': 0.204345703125, 'score': 0.204345703125, 'examples_seen': 64577, 'step': 2000, 'algorithm': 'quickselect'}
{'median': 0.235595703125, 'score': 0.235595703125, 'examples_seen': 66280, 'step': 2050, 'algorithm': 'quickselect'}
{'median': 0.15966796875, 'score': 0.15966796875, 'examples_seen': 67907, 'step': 2100, 'algorithm': 'quickselect'}
{'median': 0.147216796875, 'score': 0.147216796875, 'examples_seen': 69528, 'step': 2150, 'algorithm': 'quickselect'}
{'median': 0.183349609375, 'score': 0.183349609375, 'examples_seen': 71127, 'step': 2200, 'algorithm': 'quickselect'}
{'median': 0.136962890625, 'score': 0.136962890625, 'examples_seen': 72720, 'step': 2250, 'algorithm': 'quickselect'}
{'median': 0.13671875, 'score': 0.13671875, 'examples_seen': 74319, 'step': 2300, 'algorithm': 'quickselect'}
{'median': 0.268798828125, 'score': 0.268798828125, 'examples_seen': 75922, 'step': 2350, 'algorithm': 'quickselect'}
{'median': 0.202392578125, 'score': 0.202392578125, 'examples_seen': 77601, 'step': 2400, 'algorithm': 'quickselect'}
{'median': 0.170654296875, 'score': 0.170654296875, 'examples_seen': 79240, 'step': 2450, 'algorithm': 'quickselect'}
{'median': 0.213623046875, 'score': 0.213623046875, 'examples_seen': 80842, 'step': 2500, 'algorithm': 'quickselect'}
{'median': 0.16552734375, 'score': 0.16552734375, 'examples_seen': 82446, 'step': 2550, 'algorithm': 'quickselect'}
{'median': 0.228759765625, 'score': 0.228759765625, 'examples_seen': 84033, 'step': 2600, 'algorithm': 'quickselect'}
{'median': 0.223388671875, 'score': 0.223388671875, 'examples_seen': 85629, 'step': 2650, 'algorithm': 'quickselect'}
{'median': 0.1513671875, 'score': 0.1513671875, 'examples_seen': 87219, 'step': 2700, 'algorithm': 'quickselect'}
{'median': 0.21240234375, 'score': 0.21240234375, 'examples_seen': 88901, 'step': 2750, 'algorithm': 'quickselect'}
{'median': 0.271484375, 'score': 0.271484375, 'examples_seen': 90553, 'step': 2800, 'algorithm': 'quickselect'}
{'median': 0.254638671875, 'score': 0.254638671875, 'examples_seen': 92169, 'step': 2850, 'algorithm': 'quickselect'}
{'median': 0.183349609375, 'score': 0.183349609375, 'examples_seen': 93760, 'step': 2900, 'algorithm': 'quickselect'}
{'median': 0.2060546875, 'score': 0.2060546875, 'examples_seen': 95361, 'step': 2950, 'algorithm': 'quickselect'}
{'median': 0.1591796875, 'score': 0.1591796875, 'examples_seen': 96964, 'step': 3000, 'algorithm': 'quickselect'}
{'median': 0.204833984375, 'score': 0.204833984375, 'examples_seen': 98545, 'step': 3050, 'algorithm': 'quickselect'}
{'median': 0.123779296875, 'score': 0.123779296875, 'examples_seen': 100240, 'step': 3100, 'algorithm': 'quickselect'}
{'median': 0.194580078125, 'score': 0.194580078125, 'examples_seen': 101873, 'step': 3150, 'algorithm': 'quickselect'}
{'median': 0.25048828125, 'score': 0.25048828125, 'examples_seen': 103477, 'step': 3200, 'algorithm': 'quickselect'}
{'median': 0.172119140625, 'score': 0.172119140625, 'examples_seen': 105081, 'step': 3250, 'algorithm': 'quickselect'}
{'median': 0.158935546875, 'score': 0.158935546875, 'examples_seen': 106693, 'step': 3300, 'algorithm': 'quickselect'}
{'median': 0.20947265625, 'score': 0.20947265625, 'examples_seen': 108284, 'step': 3350, 'algorithm': 'quickselect'}
{'median': 0.130859375, 'score': 0.130859375, 'examples_seen': 109876, 'step': 3400, 'algorithm': 'quickselect'}
{'median': 0.1865234375, 'score': 0.1865234375, 'examples_seen': 111568, 'step': 3450, 'algorithm': 'quickselect'}
{'median': 0.214599609375, 'score': 0.214599609375, 'examples_seen': 113210, 'step': 3500, 'algorithm': 'quickselect'}
{'median': 0.170654296875, 'score': 0.170654296875, 'examples_seen': 114837, 'step': 3550, 'algorithm': 'quickselect'}
{'median': 0.1904296875, 'score': 0.1904296875, 'examples_seen': 116452, 'step': 3600, 'algorithm': 'quickselect'}
{'median': 0.160400390625, 'score': 0.160400390625, 'examples_seen': 118059, 'step': 3650, 'algorithm': 'quickselect'}
{'median': 0.176025390625, 'score': 0.176025390625, 'examples_seen': 119646, 'step': 3700, 'algorithm': 'quickselect'}
{'median': 0.160400390625, 'score': 0.160400390625, 'examples_seen': 121242, 'step': 3750, 'algorithm': 'quickselect'}
{'median': 0.15869140625, 'score': 0.15869140625, 'examples_seen': 122929, 'step': 3800, 'algorithm': 'quickselect'}
{'median': 0.246826171875, 'score': 0.246826171875, 'examples_seen': 124559, 'step': 3850, 'algorithm': 'quickselect'}
{'median': 0.144775390625, 'score': 0.144775390625, 'examples_seen': 126160, 'step': 3900, 'algorithm': 'quickselect'}
{'median': 0.16357421875, 'score': 0.16357421875, 'examples_seen': 127760, 'step': 3950, 'algorithm': 'quickselect'}
{'median': 0.173828125, 'score': 0.173828125, 'examples_seen': 129362, 'step': 4000, 'algorithm': 'quickselect'}
{'median': 0.25244140625, 'score': 0.25244140625, 'examples_seen': 130946, 'step': 4050, 'algorithm': 'quickselect'}
{'median': 0.213134765625, 'score': 0.213134765625, 'examples_seen': 132502, 'step': 4100, 'algorithm': 'quickselect'}
{'median': 0.193603515625, 'score': 0.193603515625, 'examples_seen': 134189, 'step': 4150, 'algorithm': 'quickselect'}
{'median': 0.273193359375, 'score': 0.273193359375, 'examples_seen': 135817, 'step': 4200, 'algorithm': 'quickselect'}
{'median': 0.157958984375, 'score': 0.157958984375, 'examples_seen': 137434, 'step': 4250, 'algorithm': 'quickselect'}
{'median': 0.244140625, 'score': 0.244140625, 'examples_seen': 139044, 'step': 4300, 'algorithm': 'quickselect'}
{'median': 0.17041015625, 'score': 0.17041015625, 'examples_seen': 140610, 'step': 4350, 'algorithm': 'quickselect'}
{'median': 0.2451171875, 'score': 0.2451171875, 'examples_seen': 142193, 'step': 4400, 'algorithm': 'quickselect'}
{'median': 0.2373046875, 'score': 0.2373046875, 'examples_seen': 143774, 'step': 4450, 'algorithm': 'quickselect'}
{'median': 0.176513671875, 'score': 0.176513671875, 'examples_seen': 145472, 'step': 4500, 'algorithm': 'quickselect'}
{'median': 0.26611328125, 'score': 0.26611328125, 'examples_seen': 147128, 'step': 4550, 'algorithm': 'quickselect'}
{'median': 0.119384765625, 'score': 0.119384765625, 'examples_seen': 148731, 'step': 4600, 'algorithm': 'quickselect'}
{'median': 0.153564453125, 'score': 0.153564453125, 'examples_seen': 150349, 'step': 4650, 'algorithm': 'quickselect'}
{'median': 0.230712890625, 'score': 0.230712890625, 'examples_seen': 151923, 'step': 4700, 'algorithm': 'quickselect'}
{'median': 0.184326171875, 'score': 0.184326171875, 'examples_seen': 153491, 'step': 4750, 'algorithm': 'quickselect'}
{'median': 0.131591796875, 'score': 0.131591796875, 'examples_seen': 155084, 'step': 4800, 'algorithm': 'quickselect'}
{'median': 0.22607421875, 'score': 0.22607421875, 'examples_seen': 156776, 'step': 4850, 'algorithm': 'quickselect'}
{'median': 0.160888671875, 'score': 0.160888671875, 'examples_seen': 158405, 'step': 4900, 'algorithm': 'quickselect'}
{'median': 0.177001953125, 'score': 0.177001953125, 'examples_seen': 160029, 'step': 4950, 'algorithm': 'quickselect'}
{'median': 0.10205078125, 'score': 0.10205078125, 'examples_seen': 161635, 'step': 5000, 'algorithm': 'quickselect'}
{'median': 0.133056640625, 'score': 0.133056640625, 'examples_seen': 163220, 'step': 5050, 'algorithm': 'quickselect'}
{'median': 0.122802734375, 'score': 0.122802734375, 'examples_seen': 164818, 'step': 5100, 'algorithm': 'quickselect'}
{'median': 0.232666015625, 'score': 0.232666015625, 'examples_seen': 166390, 'step': 5150, 'algorithm': 'quickselect'}
{'median': 0.1953125, 'score': 0.1953125, 'examples_seen': 168070, 'step': 5200, 'algorithm': 'quickselect'}
{'median': 0.14990234375, 'score': 0.14990234375, 'examples_seen': 169714, 'step': 5250, 'algorithm': 'quickselect'}
{'median': 0.124267578125, 'score': 0.124267578125, 'examples_seen': 171322, 'step': 5300, 'algorithm': 'quickselect'}
{'median': 0.146240234375, 'score': 0.146240234375, 'examples_seen': 172933, 'step': 5350, 'algorithm': 'quickselect'}
{'median': 0.2060546875, 'score': 0.2060546875, 'examples_seen': 174535, 'step': 5400, 'algorithm': 'quickselect'}
{'median': 0.170166015625, 'score': 0.170166015625, 'examples_seen': 176146, 'step': 5450, 'algorithm': 'quickselect'}
{'median': 0.1591796875, 'score': 0.1591796875, 'examples_seen': 177726, 'step': 5500, 'algorithm': 'quickselect'}
{'median': 0.154052734375, 'score': 0.154052734375, 'examples_seen': 179409, 'step': 5550, 'algorithm': 'quickselect'}
{'median': 0.170166015625, 'score': 0.170166015625, 'examples_seen': 181053, 'step': 5600, 'algorithm': 'quickselect'}
{'median': 0.19287109375, 'score': 0.19287109375, 'examples_seen': 182671, 'step': 5650, 'algorithm': 'quickselect'}
{'median': 0.16015625, 'score': 0.16015625, 'examples_seen': 184253, 'step': 5700, 'algorithm': 'quickselect'}
{'median': 0.12841796875, 'score': 0.12841796875, 'examples_seen': 185836, 'step': 5750, 'algorithm': 'quickselect'}
{'median': 0.1298828125, 'score': 0.1298828125, 'examples_seen': 187413, 'step': 5800, 'algorithm': 'quickselect'}
{'median': 0.16015625, 'score': 0.16015625, 'examples_seen': 188997, 'step': 5850, 'algorithm': 'quickselect'}
{'median': 0.177978515625, 'score': 0.177978515625, 'examples_seen': 190694, 'step': 5900, 'algorithm': 'quickselect'}
{'median': 0.14697265625, 'score': 0.14697265625, 'examples_seen': 192329, 'step': 5950, 'algorithm': 'quickselect'}
{'median': 0.156494140625, 'score': 0.156494140625, 'examples_seen': 193942, 'step': 6000, 'algorithm': 'quickselect'}
{'median': 0.14013671875, 'score': 0.14013671875, 'examples_seen': 195545, 'step': 6050, 'algorithm': 'quickselect'}
{'median': 0.30615234375, 'score': 0.30615234375, 'examples_seen': 197150, 'step': 6100, 'algorithm': 'quickselect'}
{'median': 0.125732421875, 'score': 0.125732421875, 'examples_seen': 198720, 'step': 6150, 'algorithm': 'quickselect'}
{'median': 0.125732421875, 'score': 0.125732421875, 'examples_seen': 200319, 'step': 6200, 'algorithm': 'quickselect'}
{'median': 0.19921875, 'score': 0.19921875, 'examples_seen': 202013, 'step': 6250, 'algorithm': 'quickselect'}
{'median': 0.143310546875, 'score': 0.143310546875, 'examples_seen': 203632, 'step': 6300, 'algorithm': 'quickselect'}
{'median': 0.117431640625, 'score': 0.117431640625, 'examples_seen': 205239, 'step': 6350, 'algorithm': 'quickselect'}
{'median': 0.150634765625, 'score': 0.150634765625, 'examples_seen': 206847, 'step': 6400, 'algorithm': 'quickselect'}
{'median': 0.11279296875, 'score': 0.11279296875, 'examples_seen': 208441, 'step': 6450, 'algorithm': 'quickselect'}
{'median': 0.199951171875, 'score': 0.199951171875, 'examples_seen': 210064, 'step': 6500, 'algorithm': 'quickselect'}
{'median': 0.16796875, 'score': 0.16796875, 'examples_seen': 211631, 'step': 6550, 'algorithm': 'quickselect'}
{'median': 0.17822265625, 'score': 0.17822265625, 'examples_seen': 213334, 'step': 6600, 'algorithm': 'quickselect'}
{'median': 0.167236328125, 'score': 0.167236328125, 'examples_seen': 214950, 'step': 6650, 'algorithm': 'quickselect'}
{'median': 0.164794921875, 'score': 0.164794921875, 'examples_seen': 216539, 'step': 6700, 'algorithm': 'quickselect'}
{'median': 0.23291015625, 'score': 0.23291015625, 'examples_seen': 218141, 'step': 6750, 'algorithm': 'quickselect'}
{'median': 0.132568359375, 'score': 0.132568359375, 'examples_seen': 219741, 'step': 6800, 'algorithm': 'quickselect'}
{'median': 0.158447265625, 'score': 0.158447265625, 'examples_seen': 221321, 'step': 6850, 'algorithm': 'quickselect'}
{'median': 0.117919921875, 'score': 0.117919921875, 'examples_seen': 222895, 'step': 6900, 'algorithm': 'quickselect'}
{'median': 0.17626953125, 'score': 0.17626953125, 'examples_seen': 224590, 'step': 6950, 'algorithm': 'quickselect'}
{'median': 0.18994140625, 'score': 0.18994140625, 'examples_seen': 226237, 'step': 7000, 'algorithm': 'quickselect'}
{'median': 0.19580078125, 'score': 0.19580078125, 'examples_seen': 227850, 'step': 7050, 'algorithm': 'quickselect'}
{'median': 0.20751953125, 'score': 0.20751953125, 'examples_seen': 229450, 'step': 7100, 'algorithm': 'quickselect'}
{'median': 0.174072265625, 'score': 0.174072265625, 'examples_seen': 231046, 'step': 7150, 'algorithm': 'quickselect'}
{'median': 0.155029296875, 'score': 0.155029296875, 'examples_seen': 232652, 'step': 7200, 'algorithm': 'quickselect'}
{'median': 0.206298828125, 'score': 0.206298828125, 'examples_seen': 234226, 'step': 7250, 'algorithm': 'quickselect'}
{'median': 0.160888671875, 'score': 0.160888671875, 'examples_seen': 235894, 'step': 7300, 'algorithm': 'quickselect'}
{'median': 0.197998046875, 'score': 0.197998046875, 'examples_seen': 237531, 'step': 7350, 'algorithm': 'quickselect'}
{'median': 0.151611328125, 'score': 0.151611328125, 'examples_seen': 239131, 'step': 7400, 'algorithm': 'quickselect'}
{'median': 0.231689453125, 'score': 0.231689453125, 'examples_seen': 240724, 'step': 7450, 'algorithm': 'quickselect'}
{'median': 0.158447265625, 'score': 0.158447265625, 'examples_seen': 242301, 'step': 7500, 'algorithm': 'quickselect'}
{'median': 0.158203125, 'score': 0.158203125, 'examples_seen': 243893, 'step': 7550, 'algorithm': 'quickselect'}
{'median': 0.2626953125, 'score': 0.2626953125, 'examples_seen': 245478, 'step': 7600, 'algorithm': 'quickselect'}
{'median': 0.150634765625, 'score': 0.150634765625, 'examples_seen': 247169, 'step': 7650, 'algorithm': 'quickselect'}
{'median': 0.193359375, 'score': 0.193359375, 'examples_seen': 248817, 'step': 7700, 'algorithm': 'quickselect'}
{'median': 0.204833984375, 'score': 0.204833984375, 'examples_seen': 250443, 'step': 7750, 'algorithm': 'quickselect'}
{'median': 0.1572265625, 'score': 0.1572265625, 'examples_seen': 252043, 'step': 7800, 'algorithm': 'quickselect'}
{'median': 0.162841796875, 'score': 0.162841796875, 'examples_seen': 253616, 'step': 7850, 'algorithm': 'quickselect'}
{'median': 0.13720703125, 'score': 0.13720703125, 'examples_seen': 255202, 'step': 7900, 'algorithm': 'quickselect'}
{'median': 0.157958984375, 'score': 0.157958984375, 'examples_seen': 256806, 'step': 7950, 'algorithm': 'quickselect'}
{'median': 0.10888671875, 'score': 0.10888671875, 'examples_seen': 258486, 'step': 8000, 'algorithm': 'quickselect'}
{'median': 0.11328125, 'score': 0.11328125, 'examples_seen': 260113, 'step': 8050, 'algorithm': 'quickselect'}
{'median': 0.141845703125, 'score': 0.141845703125, 'examples_seen': 261722, 'step': 8100, 'algorithm': 'quickselect'}
{'median': 0.168701171875, 'score': 0.168701171875, 'examples_seen': 263319, 'step': 8150, 'algorithm': 'quickselect'}
{'median': 0.123291015625, 'score': 0.123291015625, 'examples_seen': 264916, 'step': 8200, 'algorithm': 'quickselect'}
{'median': 0.134765625, 'score': 0.134765625, 'examples_seen': 266510, 'step': 8250, 'algorithm': 'quickselect'}
{'median': 0.14306640625, 'score': 0.14306640625, 'examples_seen': 268103, 'step': 8300, 'algorithm': 'quickselect'}
{'median': 0.15185546875, 'score': 0.15185546875, 'examples_seen': 269787, 'step': 8350, 'algorithm': 'quickselect'}
{'median': 0.182373046875, 'score': 0.182373046875, 'examples_seen': 271438, 'step': 8400, 'algorithm': 'quickselect'}
{'median': 0.150146484375, 'score': 0.150146484375, 'examples_seen': 273037, 'step': 8450, 'algorithm': 'quickselect'}
{'median': 0.1826171875, 'score': 0.1826171875, 'examples_seen': 274658, 'step': 8500, 'algorithm': 'quickselect'}
{'median': 0.1630859375, 'score': 0.1630859375, 'examples_seen': 276254, 'step': 8550, 'algorithm': 'quickselect'}
{'median': 0.15576171875, 'score': 0.15576171875, 'examples_seen': 277855, 'step': 8600, 'algorithm': 'quickselect'}
{'median': 0.19775390625, 'score': 0.19775390625, 'examples_seen': 279434, 'step': 8650, 'algorithm': 'quickselect'}
{'median': 0.13330078125, 'score': 0.13330078125, 'examples_seen': 281121, 'step': 8700, 'algorithm': 'quickselect'}
{'median': 0.124267578125, 'score': 0.124267578125, 'examples_seen': 282741, 'step': 8750, 'algorithm': 'quickselect'}
{'median': 0.177978515625, 'score': 0.177978515625, 'examples_seen': 284348, 'step': 8800, 'algorithm': 'quickselect'}
{'median': 0.20556640625, 'score': 0.20556640625, 'examples_seen': 285958, 'step': 8850, 'algorithm': 'quickselect'}
{'median': 0.11865234375, 'score': 0.11865234375, 'examples_seen': 287546, 'step': 8900, 'algorithm': 'quickselect'}
{'median': 0.142333984375, 'score': 0.142333984375, 'examples_seen': 289137, 'step': 8950, 'algorithm': 'quickselect'}
{'median': 0.146240234375, 'score': 0.146240234375, 'examples_seen': 290728, 'step': 9000, 'algorithm': 'quickselect'}
{'median': 0.16015625, 'score': 0.16015625, 'examples_seen': 292431, 'step': 9050, 'algorithm': 'quickselect'}
{'median': 0.164306640625, 'score': 0.164306640625, 'examples_seen': 294069, 'step': 9100, 'algorithm': 'quickselect'}
{'median': 0.166748046875, 'score': 0.166748046875, 'examples_seen': 295667, 'step': 9150, 'algorithm': 'quickselect'}
{'median': 0.109375, 'score': 0.109375, 'examples_seen': 297284, 'step': 9200, 'algorithm': 'quickselect'}
{'median': 0.137939453125, 'score': 0.137939453125, 'examples_seen': 298888, 'step': 9250, 'algorithm': 'quickselect'}
{'median': 0.15869140625, 'score': 0.15869140625, 'examples_seen': 300484, 'step': 9300, 'algorithm': 'quickselect'}
{'median': 0.160400390625, 'score': 0.160400390625, 'examples_seen': 302085, 'step': 9350, 'algorithm': 'quickselect'}
{'median': 0.15771484375, 'score': 0.15771484375, 'examples_seen': 303777, 'step': 9400, 'algorithm': 'quickselect'}
{'median': 0.197021484375, 'score': 0.197021484375, 'examples_seen': 305410, 'step': 9450, 'algorithm': 'quickselect'}
{'median': 0.19580078125, 'score': 0.19580078125, 'examples_seen': 307022, 'step': 9500, 'algorithm': 'quickselect'}
{'median': 0.260498046875, 'score': 0.260498046875, 'examples_seen': 308634, 'step': 9550, 'algorithm': 'quickselect'}
{'median': 0.188720703125, 'score': 0.188720703125, 'examples_seen': 310214, 'step': 9600, 'algorithm': 'quickselect'}
{'median': 0.201416015625, 'score': 0.201416015625, 'examples_seen': 311822, 'step': 9650, 'algorithm': 'quickselect'}
{'median': 0.158447265625, 'score': 0.158447265625, 'examples_seen': 313408, 'step': 9700, 'algorithm': 'quickselect'}
{'median': 0.2265625, 'score': 0.2265625, 'examples_seen': 315087, 'step': 9750, 'algorithm': 'quickselect'}
{'median': 0.133056640625, 'score': 0.133056640625, 'examples_seen': 316722, 'step': 9800, 'algorithm': 'quickselect'}
{'median': 0.200927734375, 'score': 0.200927734375, 'examples_seen': 318323, 'step': 9850, 'algorithm': 'quickselect'}
{'median': 0.1884765625, 'score': 0.1884765625, 'examples_seen': 319940, 'step': 9900, 'algorithm': 'quickselect'}
{'median': 0.20068359375, 'score': 0.20068359375, 'examples_seen': 321518, 'step': 9950, 'algorithm': 'quickselect'}
